PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,age_range,count
1,0,3,Braund,male,22,1,0,A/5 21171,7.25,S,adult,1
2,1,1,Cumings,female,38,1,0,PC 17599,71.2833,C,adult,1
3,1,3,Heikkinen,female,26,0,0,STON/O2. 3101282,7.925,S,adult,1
4,1,1,Futrelle,female,35,1,0,113803,53.1,S,adult,1
5,0,3,Allen,male,35,0,0,373450,8.05,S,adult,1
6,0,3,Moran,male,30,0,0,330877,8.4583,Q,adult,1
7,0,1,McCarthy,male,54,0,0,17463,51.8625,S,adult,1
8,0,3,Palsson,male,2,3,1,349909,21.075,S,child,1
9,1,3,Johnson,female,27,0,2,347742,11.1333,S,adult,1
10,1,2,Nasser,female,14,1,0,237736,30.0708,C,teen,1
11,1,3,Sandstrom,female,4,1,1,PP 9549,16.7,S,child,1
12,1,1,Bonnell,female,58,0,0,113783,26.55,S,adult,1
13,0,3,Saundercock,male,20,0,0,A/5. 2151,8.05,S,teen,1
14,0,3,Andersson,male,39,1,5,347082,31.275,S,adult,1
15,0,3,Vestrom,female,14,0,0,350406,7.8542,S,teen,1
16,1,2,Hewlett,female,55,0,0,248706,16.0,S,adult,1
17,0,3,Rice,male,2,4,1,382652,29.125,Q,child,1
18,1,2,Williams,male,30,0,0,244373,13.0,S,adult,1
19,0,3,Vander Planke,female,31,1,0,345763,18.0,S,adult,1
20,1,3,Masselmani,female,30,0,0,2649,7.225,C,adult,1
21,0,2,Fynney,male,35,0,0,239865,26.0,S,adult,1
22,1,2,Beesley,male,34,0,0,248698,13.0,S,adult,1
23,1,3,McGowan,female,15,0,0,330923,8.0292,Q,teen,1
24,1,1,Sloper,male,28,0,0,113788,35.5,S,adult,1
25,0,3,Palsson,female,8,3,1,349909,21.075,S,child,1
26,1,3,Asplund,female,38,1,5,347077,31.3875,S,adult,1
27,0,3,Emir,male,30,0,0,2631,7.225,C,adult,1
28,0,1,Fortune,male,19,3,2,19950,263.0,S,teen,1
29,1,3,O'Dwyer,female,30,0,0,330959,7.8792,Q,adult,1
30,0,3,Todoroff,male,30,0,0,349216,7.8958,S,adult,1
31,0,1,Uruchurtu,male,40,0,0,PC 17601,27.7208,C,adult,1
32,1,1,Spencer,female,30,1,0,PC 17569,146.5208,C,adult,1
33,1,3,Glynn,female,30,0,0,335677,7.75,Q,adult,1
34,0,2,Wheadon,male,66,0,0,C.A. 24579,10.5,S,adult,1
35,0,1,Meyer,male,28,1,0,PC 17604,82.1708,C,adult,1
36,0,1,Holverson,male,42,1,0,113789,52.0,S,adult,1
37,1,3,Mamee,male,30,0,0,2677,7.2292,C,adult,1
38,0,3,Cann,male,21,0,0,A./5. 2152,8.05,S,adult,1
39,0,3,Vander Planke,female,18,2,0,345764,18.0,S,teen,1
40,1,3,Nicola-Yarred,female,14,1,0,2651,11.2417,C,teen,1
41,0,3,Ahlin,female,40,1,0,7546,9.475,S,adult,1
42,0,2,Turpin,female,27,1,0,11668,21.0,S,adult,1
43,0,3,Kraeff,male,30,0,0,349253,7.8958,C,adult,1
44,1,2,Laroche,female,3,1,2,SC/Paris 2123,41.5792,C,child,1
45,1,3,Devaney,female,19,0,0,330958,7.8792,Q,teen,1
46,0,3,Rogers,male,30,0,0,S.C./A.4. 23567,8.05,S,adult,1
47,0,3,Lennon,male,30,1,0,370371,15.5,Q,adult,1
48,1,3,O'Driscoll,female,30,0,0,14311,7.75,Q,adult,1
49,0,3,Samaan,male,30,2,0,2662,21.6792,C,adult,1
50,0,3,Arnold-Franchi,female,18,1,0,349237,17.8,S,teen,1
51,0,3,Panula,male,7,4,1,3101295,39.6875,S,child,1
52,0,3,Nosworthy,male,21,0,0,A/4. 39886,7.8,S,adult,1
53,1,1,Harper,female,49,1,0,PC 17572,76.7292,C,adult,1
54,1,2,Faunthorpe,female,29,1,0,2926,26.0,S,adult,1
55,0,1,Ostby,male,65,0,1,113509,61.9792,C,adult,1
56,1,1,Woolner,male,30,0,0,19947,35.5,S,adult,1
57,1,2,Rugg,female,21,0,0,C.A. 31026,10.5,S,adult,1
58,0,3,Novel,male,29,0,0,2697,7.2292,C,adult,1
59,1,2,West,female,5,1,2,C.A. 34651,27.75,S,child,1
60,0,3,Goodwin,male,11,5,2,CA 2144,46.9,S,teen,1
61,0,3,Sirayanian,male,22,0,0,2669,7.2292,C,adult,1
62,1,1,Icard,female,38,0,0,113572,80.0,S,adult,1
63,0,1,Harris,male,45,1,0,36973,83.475,S,adult,1
64,0,3,Skoog,male,4,3,2,347088,27.9,S,child,1
65,0,1,Stewart,male,30,0,0,PC 17605,27.7208,C,adult,1
66,1,3,Moubarek,male,30,1,1,2661,15.2458,C,adult,1
67,1,2,Nye,female,29,0,0,C.A. 29395,10.5,S,adult,1
68,0,3,Crease,male,19,0,0,S.P. 3464,8.1583,S,teen,1
69,1,3,Andersson,female,17,4,2,3101281,7.925,S,teen,1
70,0,3,Kink,male,26,2,0,315151,8.6625,S,adult,1
71,0,2,Jenkin,male,32,0,0,C.A. 33111,10.5,S,adult,1
72,0,3,Goodwin,female,16,5,2,CA 2144,46.9,S,teen,1
73,0,2,Hood,male,21,0,0,S.O.C. 14879,73.5,S,adult,1
74,0,3,Chronopoulos,male,26,1,0,2680,14.4542,C,adult,1
75,1,3,Bing,male,32,0,0,1601,56.4958,S,adult,1
76,0,3,Moen,male,25,0,0,348123,7.65,S,adult,1
77,0,3,Staneff,male,30,0,0,349208,7.8958,S,adult,1
78,0,3,Moutal,male,30,0,0,374746,8.05,S,adult,1
79,1,2,Caldwell,male,1,0,2,248738,29.0,S,child,1
80,1,3,Dowdell,female,30,0,0,364516,12.475,S,adult,1
81,0,3,Waelens,male,22,0,0,345767,9.0,S,adult,1
82,1,3,Sheerlinck,male,29,0,0,345779,9.5,S,adult,1
83,1,3,McDermott,female,30,0,0,330932,7.7875,Q,adult,1
84,0,1,Carrau,male,28,0,0,113059,47.1,S,adult,1
85,1,2,Ilett,female,17,0,0,SO/C 14885,10.5,S,teen,1
86,1,3,Backstrom,female,33,3,0,3101278,15.85,S,adult,1
87,0,3,Ford,male,16,1,3,W./C. 6608,34.375,S,teen,1
88,0,3,Slocovski,male,30,0,0,SOTON/OQ 392086,8.05,S,adult,1
89,1,1,Fortune,female,23,3,2,19950,263.0,S,adult,1
90,0,3,Celotti,male,24,0,0,343275,8.05,S,adult,1
91,0,3,Christmann,male,29,0,0,343276,8.05,S,adult,1
92,0,3,Andreasson,male,20,0,0,347466,7.8542,S,teen,1
93,0,1,Chaffee,male,46,1,0,W.E.P. 5734,61.175,S,adult,1
94,0,3,Dean,male,26,1,2,C.A. 2315,20.575,S,adult,1
95,0,3,Coxon,male,59,0,0,364500,7.25,S,adult,1
96,0,3,Shorney,male,30,0,0,374910,8.05,S,adult,1
97,0,1,Goldschmidt,male,71,0,0,PC 17754,34.6542,C,adult,1
98,1,1,Greenfield,male,23,0,1,PC 17759,63.3583,C,adult,1
99,1,2,Doling,female,34,0,1,231919,23.0,S,adult,1
100,0,2,Kantor,male,34,1,0,244367,26.0,S,adult,1
101,0,3,Petranec,female,28,0,0,349245,7.8958,S,adult,1
102,0,3,Petroff,male,30,0,0,349215,7.8958,S,adult,1
103,0,1,White,male,21,0,1,35281,77.2875,S,adult,1
104,0,3,Johansson,male,33,0,0,7540,8.6542,S,adult,1
105,0,3,Gustafsson,male,37,2,0,3101276,7.925,S,adult,1
106,0,3,Mionoff,male,28,0,0,349207,7.8958,S,adult,1
107,1,3,Salkjelsvik,female,21,0,0,343120,7.65,S,adult,1
108,1,3,Moss,male,30,0,0,312991,7.775,S,adult,1
109,0,3,Rekic,male,38,0,0,349249,7.8958,S,adult,1
110,1,3,Moran,female,30,1,0,371110,24.15,Q,adult,1
111,0,1,Porter,male,47,0,0,110465,52.0,S,adult,1
112,0,3,Zabour,female,15,1,0,2665,14.4542,C,teen,1
113,0,3,Barton,male,22,0,0,324669,8.05,S,adult,1
114,0,3,Jussila,female,20,1,0,4136,9.825,S,teen,1
115,0,3,Attalah,female,17,0,0,2627,14.4583,C,teen,1
116,0,3,Pekoniemi,male,21,0,0,STON/O 2. 3101294,7.925,S,adult,1
117,0,3,Connors,male,71,0,0,370369,7.75,Q,adult,1
118,0,2,Turpin,male,29,1,0,11668,21.0,S,adult,1
119,0,1,Baxter,male,24,0,1,PC 17558,247.5208,C,adult,1
120,0,3,Andersson,female,2,4,2,347082,31.275,S,child,1
121,0,2,Hickman,male,21,2,0,S.O.C. 14879,73.5,S,adult,1
122,0,3,Moore,male,30,0,0,A4. 54510,8.05,S,adult,1
123,0,2,Nasser,male,33,1,0,237736,30.0708,C,adult,1
124,1,2,Webber,female,33,0,0,27267,13.0,S,adult,1
125,0,1,White,male,54,0,1,35281,77.2875,S,adult,1
126,1,3,Nicola-Yarred,male,12,1,0,2651,11.2417,C,teen,1
127,0,3,McMahon,male,30,0,0,370372,7.75,Q,adult,1
128,1,3,Madsen,male,24,0,0,C 17369,7.1417,S,adult,1
129,1,3,Peter,female,30,1,1,2668,22.3583,C,adult,1
130,0,3,Ekstrom,male,45,0,0,347061,6.975,S,adult,1
131,0,3,Drazenoic,male,33,0,0,349241,7.8958,C,adult,1
132,0,3,Coelho,male,20,0,0,SOTON/O.Q. 3101307,7.05,S,teen,1
133,0,3,Robins,female,47,1,0,A/5. 3337,14.5,S,adult,1
134,1,2,Weisz,female,29,1,0,228414,26.0,S,adult,1
135,0,2,Sobey,male,25,0,0,C.A. 29178,13.0,S,adult,1
136,0,2,Richard,male,23,0,0,SC/PARIS 2133,15.0458,C,adult,1
137,1,1,Newsom,female,19,0,2,11752,26.2833,S,teen,1
138,0,1,Futrelle,male,37,1,0,113803,53.1,S,adult,1
139,0,3,Osen,male,16,0,0,7534,9.2167,S,teen,1
140,0,1,Giglio,male,24,0,0,PC 17593,79.2,C,adult,1
141,0,3,Boulos,female,30,0,2,2678,15.2458,C,adult,1
142,1,3,Nysten,female,22,0,0,347081,7.75,S,adult,1
143,1,3,Hakkarainen,female,24,1,0,STON/O2. 3101279,15.85,S,adult,1
144,0,3,Burke,male,19,0,0,365222,6.75,Q,teen,1
145,0,2,Andrew,male,18,0,0,231945,11.5,S,teen,1
146,0,2,Nicholls,male,19,1,1,C.A. 33112,36.75,S,teen,1
147,1,3,Andersson,male,27,0,0,350043,7.7958,S,adult,1
148,0,3,Ford,female,9,2,2,W./C. 6608,34.375,S,child,1
149,0,2,Navratil,male,37,0,2,230080,26.0,S,adult,1
150,0,2,Byles,male,42,0,0,244310,13.0,S,adult,1
151,0,2,Bateman,male,51,0,0,S.O.P. 1166,12.525,S,adult,1
152,1,1,Pears,female,22,1,0,113776,66.6,S,adult,1
153,0,3,Meo,male,56,0,0,A.5. 11206,8.05,S,adult,1
154,0,3,van Billiard,male,41,0,2,A/5. 851,14.5,S,adult,1
155,0,3,Olsen,male,30,0,0,Fa 265302,7.3125,S,adult,1
156,0,1,Williams,male,51,0,1,PC 17597,61.3792,C,adult,1
157,1,3,Gilnagh,female,16,0,0,35851,7.7333,Q,teen,1
158,0,3,Corn,male,30,0,0,SOTON/OQ 392090,8.05,S,adult,1
159,0,3,Smiljanic,male,30,0,0,315037,8.6625,S,adult,1
160,0,3,Sage,male,30,8,2,CA. 2343,69.55,S,adult,1
161,0,3,Cribb,male,44,0,1,371362,16.1,S,adult,1
162,1,2,Watt,female,40,0,0,C.A. 33595,15.75,S,adult,1
163,0,3,Bengtsson,male,26,0,0,347068,7.775,S,adult,1
164,0,3,Calic,male,17,0,0,315093,8.6625,S,teen,1
165,0,3,Panula,male,1,4,1,3101295,39.6875,S,child,1
166,1,3,Goldsmith,male,9,0,2,363291,20.525,S,child,1
167,1,1,Chibnall,female,30,0,1,113505,55.0,S,adult,1
168,0,3,Skoog,female,45,1,4,347088,27.9,S,adult,1
169,0,1,Baumann,male,30,0,0,PC 17318,25.925,S,adult,1
170,0,3,Ling,male,28,0,0,1601,56.4958,S,adult,1
171,0,1,Van der hoef,male,61,0,0,111240,33.5,S,adult,1
172,0,3,Rice,male,4,4,1,382652,29.125,Q,child,1
173,1,3,Johnson,female,1,1,1,347742,11.1333,S,child,1
174,0,3,Sivola,male,21,0,0,STON/O 2. 3101280,7.925,S,adult,1
175,0,1,Smith,male,56,0,0,17764,30.6958,C,adult,1
176,0,3,Klasen,male,18,1,1,350404,7.8542,S,teen,1
177,0,3,Lefebre,male,30,3,1,4133,25.4667,S,adult,1
178,0,1,Isham,female,50,0,0,PC 17595,28.7125,C,adult,1
179,0,2,Hale,male,30,0,0,250653,13.0,S,adult,1
180,0,3,Leonard,male,36,0,0,LINE,0.0,S,adult,1
181,0,3,Sage,female,30,8,2,CA. 2343,69.55,S,adult,1
182,0,2,Pernot,male,30,0,0,SC/PARIS 2131,15.05,C,adult,1
183,0,3,Asplund,male,9,4,2,347077,31.3875,S,child,1
184,1,2,Becker,male,1,2,1,230136,39.0,S,child,1
185,1,3,Kink-Heilmann,female,4,0,2,315153,22.025,S,child,1
186,0,1,Rood,male,30,0,0,113767,50.0,S,adult,1
187,1,3,O'Brien,female,30,1,0,370365,15.5,Q,adult,1
188,1,1,Romaine,male,45,0,0,111428,26.55,S,adult,1
189,0,3,Bourke,male,40,1,1,364849,15.5,Q,adult,1
190,0,3,Turcin,male,36,0,0,349247,7.8958,S,adult,1
191,1,2,Pinsky,female,32,0,0,234604,13.0,S,adult,1
192,0,2,Carbines,male,19,0,0,28424,13.0,S,teen,1
193,1,3,Andersen-Jensen,female,19,1,0,350046,7.8542,S,teen,1
194,1,2,Navratil,male,3,1,1,230080,26.0,S,child,1
195,1,1,Brown,female,44,0,0,PC 17610,27.7208,C,adult,1
196,1,1,Lurette,female,58,0,0,PC 17569,146.5208,C,adult,1
197,0,3,Mernagh,male,30,0,0,368703,7.75,Q,adult,1
198,0,3,Olsen,male,42,0,1,4579,8.4042,S,adult,1
199,1,3,Madigan,female,30,0,0,370370,7.75,Q,adult,1
200,0,2,Yrois,female,24,0,0,248747,13.0,S,adult,1
201,0,3,Vande Walle,male,28,0,0,345770,9.5,S,adult,1
202,0,3,Sage,male,30,8,2,CA. 2343,69.55,S,adult,1
203,0,3,Johanson,male,34,0,0,3101264,6.4958,S,adult,1
204,0,3,Youseff,male,46,0,0,2628,7.225,C,adult,1
205,1,3,Cohen,male,18,0,0,A/5 3540,8.05,S,teen,1
206,0,3,Strom,female,2,0,1,347054,10.4625,S,child,1
207,0,3,Backstrom,male,32,1,0,3101278,15.85,S,adult,1
208,1,3,Albimona,male,26,0,0,2699,18.7875,C,adult,1
209,1,3,Carr,female,16,0,0,367231,7.75,Q,teen,1
210,1,1,Blank,male,40,0,0,112277,31.0,C,adult,1
211,0,3,Ali,male,24,0,0,SOTON/O.Q. 3101311,7.05,S,adult,1
212,1,2,Cameron,female,35,0,0,F.C.C. 13528,21.0,S,adult,1
213,0,3,Perkin,male,22,0,0,A/5 21174,7.25,S,adult,1
214,0,2,Givard,male,30,0,0,250646,13.0,S,adult,1
215,0,3,Kiernan,male,30,1,0,367229,7.75,Q,adult,1
216,1,1,Newell,female,31,1,0,35273,113.275,C,adult,1
217,1,3,Honkanen,female,27,0,0,STON/O2. 3101283,7.925,S,adult,1
218,0,2,Jacobsohn,male,42,1,0,243847,27.0,S,adult,1
219,1,1,Bazzani,female,32,0,0,11813,76.2917,C,adult,1
220,0,2,Harris,male,30,0,0,W/C 14208,10.5,S,adult,1
221,1,3,Sunderland,male,16,0,0,SOTON/OQ 392089,8.05,S,teen,1
222,0,2,Bracken,male,27,0,0,220367,13.0,S,adult,1
223,0,3,Green,male,51,0,0,21440,8.05,S,adult,1
224,0,3,Nenkoff,male,30,0,0,349234,7.8958,S,adult,1
225,1,1,Hoyt,male,38,1,0,19943,90.0,S,adult,1
226,0,3,Berglund,male,22,0,0,PP 4348,9.35,S,adult,1
227,1,2,Mellors,male,19,0,0,SW/PP 751,10.5,S,teen,1
228,0,3,Lovell,male,21,0,0,A/5 21173,7.25,S,adult,1
229,0,2,Fahlstrom,male,18,0,0,236171,13.0,S,teen,1
230,0,3,Lefebre,female,30,3,1,4133,25.4667,S,adult,1
231,1,1,Harris,female,35,1,0,36973,83.475,S,adult,1
232,0,3,Larsson,male,29,0,0,347067,7.775,S,adult,1
233,0,2,Sjostedt,male,59,0,0,237442,13.5,S,adult,1
234,1,3,Asplund,female,5,4,2,347077,31.3875,S,child,1
235,0,2,Leyson,male,24,0,0,C.A. 29566,10.5,S,adult,1
236,0,3,Harknett,female,30,0,0,W./C. 6609,7.55,S,adult,1
237,0,2,Hold,male,44,1,0,26707,26.0,S,adult,1
238,1,2,Collyer,female,8,0,2,C.A. 31921,26.25,S,child,1
239,0,2,Pengelly,male,19,0,0,28665,10.5,S,teen,1
240,0,2,Hunt,male,33,0,0,SCO/W 1585,12.275,S,adult,1
241,0,3,Zabour,female,30,1,0,2665,14.4542,C,adult,1
242,1,3,Murphy,female,30,1,0,367230,15.5,Q,adult,1
243,0,2,Coleridge,male,29,0,0,W./C. 14263,10.5,S,adult,1
244,0,3,Maenpaa,male,22,0,0,STON/O 2. 3101275,7.125,S,adult,1
245,0,3,Attalah,male,30,0,0,2694,7.225,C,adult,1
246,0,1,Minahan,male,44,2,0,19928,90.0,Q,adult,1
247,0,3,Lindahl,female,25,0,0,347071,7.775,S,adult,1
248,1,2,Hamalainen,female,24,0,2,250649,14.5,S,adult,1
249,1,1,Beckwith,male,37,1,1,11751,52.5542,S,adult,1
250,0,2,Carter,male,54,1,0,244252,26.0,S,adult,1
251,0,3,Reed,male,30,0,0,362316,7.25,S,adult,1
252,0,3,Strom,female,29,1,1,347054,10.4625,S,adult,1
253,0,1,Stead,male,62,0,0,113514,26.55,S,adult,1
254,0,3,Lobb,male,30,1,0,A/5. 3336,16.1,S,adult,1
255,0,3,Rosblom,female,41,0,2,370129,20.2125,S,adult,1
256,1,3,Touma,female,29,0,2,2650,15.2458,C,adult,1
257,1,1,Thorne,female,30,0,0,PC 17585,79.2,C,adult,1
258,1,1,Cherry,female,30,0,0,110152,86.5,S,adult,1
259,1,1,Ward,female,35,0,0,PC 17755,512.3292,C,adult,1
260,1,2,Parrish,female,50,0,1,230433,26.0,S,adult,1
261,0,3,Smith,male,30,0,0,384461,7.75,Q,adult,1
262,1,3,Asplund,male,3,4,2,347077,31.3875,S,child,1
263,0,1,Taussig,male,52,1,1,110413,79.65,S,adult,1
264,0,1,Harrison,male,40,0,0,112059,0.0,S,adult,1
265,0,3,Henry,female,30,0,0,382649,7.75,Q,adult,1
266,0,2,Reeves,male,36,0,0,C.A. 17248,10.5,S,adult,1
267,0,3,Panula,male,16,4,1,3101295,39.6875,S,teen,1
268,1,3,Persson,male,25,1,0,347083,7.775,S,adult,1
269,1,1,Graham,female,58,0,1,PC 17582,153.4625,S,adult,1
270,1,1,Bissette,female,35,0,0,PC 17760,135.6333,S,adult,1
271,0,1,Cairns,male,30,0,0,113798,31.0,S,adult,1
272,1,3,Tornquist,male,25,0,0,LINE,0.0,S,adult,1
273,1,2,Mellinger,female,41,0,1,250644,19.5,S,adult,1
274,0,1,Natsch,male,37,0,1,PC 17596,29.7,C,adult,1
275,1,3,Healy,female,30,0,0,370375,7.75,Q,adult,1
276,1,1,Andrews,female,63,1,0,13502,77.9583,S,adult,1
277,0,3,Lindblom,female,45,0,0,347073,7.75,S,adult,1
278,0,2,Parkes,male,30,0,0,239853,0.0,S,adult,1
279,0,3,Rice,male,7,4,1,382652,29.125,Q,child,1
280,1,3,Abbott,female,35,1,1,C.A. 2673,20.25,S,adult,1
281,0,3,Duane,male,65,0,0,336439,7.75,Q,adult,1
282,0,3,Olsson,male,28,0,0,347464,7.8542,S,adult,1
283,0,3,de Pelsmaeker,male,16,0,0,345778,9.5,S,teen,1
284,1,3,Dorking,male,19,0,0,A/5. 10482,8.05,S,teen,1
285,0,1,Smith,male,30,0,0,113056,26.0,S,adult,1
286,0,3,Stankovic,male,33,0,0,349239,8.6625,C,adult,1
287,1,3,de Mulder,male,30,0,0,345774,9.5,S,adult,1
288,0,3,Naidenoff,male,22,0,0,349206,7.8958,S,adult,1
289,1,2,Hosono,male,42,0,0,237798,13.0,S,adult,1
290,1,3,Connolly,female,22,0,0,370373,7.75,Q,adult,1
291,1,1,Barber,female,26,0,0,19877,78.85,S,adult,1
292,1,1,Bishop,female,19,1,0,11967,91.0792,C,teen,1
293,0,2,Levy,male,36,0,0,SC/Paris 2163,12.875,C,adult,1
294,0,3,Haas,female,24,0,0,349236,8.85,S,adult,1
295,0,3,Mineff,male,24,0,0,349233,7.8958,S,adult,1
296,0,1,Lewy,male,30,0,0,PC 17612,27.7208,C,adult,1
